strategy,money,countries,utilities,stations,totalLandsOwned
UTILITY_GUY,75847,6,0,0,6
UTILITY_GUY,18844,7,1,1,9
GREEDY,47809,13,1,2,16
GREEDY,10867,6,1,2,9
STATION_GUY,23012,6,0,2,8
STINGY,89487,3,1,0,4
GREEDY,30575,6,1,1,8
GREEDY,25861,10,0,3,13
GREEDY,48403,9,0,1,10
STATION_GUY,35112,7,0,2,9
DEFAULT,36306,5,0,0,5
STATION_GUY,34051,6,0,0,6
DEFAULT,71359,8,0,1,9
STATION_GUY,53046,4,0,1,5
DEFAULT,36769,5,0,0,5
GREEDY,97086,10,1,1,12
GREEDY,27050,5,1,1,7
GREEDY,31345,12,0,1,13
DEFAULT,37041,6,1,0,7
UTILITY_GUY,27062,6,1,1,8
GREEDY,12935,8,1,0,9
GREEDY,25060,8,0,2,10
STATION_GUY,22804,4,0,3,7
GREEDY,22245,9,1,0,10
DEFAULT,43781,8,0,0,8
GREEDY,32578,8,1,1,10
GREEDY,28015,9,0,2,11
GREEDY,22426,7,1,0,8
GREEDY,24096,8,1,1,10
UTILITY_GUY,33613,6,0,0,6
UTILITY_GUY,77087,6,1,2,9
DEFAULT,17524,13,1,2,16
GREEDY,35617,8,0,0,8
GREEDY,22070,9,0,0,9
DEFAULT,70583,7,0,1,8
GREEDY,27993,6,0,1,7
DEFAULT,58395,6,1,1,8
GREEDY,80213,9,0,0,9
STATION_GUY,15484,5,0,0,5
GREEDY,20571,6,1,0,7
GREEDY,32305,9,1,1,11
GREEDY,43202,9,0,0,9
UTILITY_GUY,46852,6,1,1,8
DEFAULT,28606,6,1,0,7
GREEDY,33100,12,1,3,16
GREEDY,14161,9,1,2,12
UTILITY_GUY,97240,6,1,0,7
STATION_GUY,20184,7,0,2,9
GREEDY,20115,10,1,1,12
DEFAULT,73139,5,0,0,5
DEFAULT,11869,4,1,1,6
GREEDY,23783,12,1,2,15
DEFAULT,30738,4,1,2,7
GREEDY,82300,11,0,0,11
GREEDY,24949,7,1,0,8
GREEDY,28255,9,1,1,11
STATION_GUY,36357,3,2,4,9
GREEDY,16647,10,1,0,11
GREEDY,14389,11,1,1,13
GREEDY,23144,11,0,2,13
UTILITY_GUY,15095,5,1,1,7
GREEDY,18785,6,0,3,9
STATION_GUY,61276,5,0,1,6
GREEDY,23757,8,0,0,8
STATION_GUY,25853,6,0,1,7
GREEDY,22722,6,0,1,7
GREEDY,44856,11,0,1,12
GREEDY,19577,7,0,3,10
GREEDY,21155,10,0,2,12
GREEDY,10713,10,0,2,12
UTILITY_GUY,22539,8,1,0,9
UTILITY_GUY,38958,5,1,1,7
GREEDY,24016,8,0,2,10
GREEDY,19682,9,0,1,10
GREEDY,29770,7,1,2,10
DEFAULT,52165,6,0,1,7
GREEDY,17734,6,1,3,10
GREEDY,16352,6,0,2,8
STATION_GUY,27036,2,0,1,3
GREEDY,17774,8,1,1,10
DEFAULT,19196,5,0,0,5
STATION_GUY,44006,2,0,0,2
STATION_GUY,32655,4,0,1,5
GREEDY,23520,7,0,1,8
DEFAULT,77897,5,0,1,6
GREEDY,22213,5,1,3,9
DEFAULT,39755,7,0,1,8
GREEDY,26232,10,0,1,11
DEFAULT,59466,8,0,2,10
UTILITY_GUY,25657,7,1,1,9
GREEDY,48799,9,0,0,9
STATION_GUY,30995,6,0,4,10
UTILITY_GUY,51346,7,0,0,7
DEFAULT,23229,6,1,2,9
GREEDY,22184,10,1,2,13
DEFAULT,22368,4,0,0,4
GREEDY,33909,6,0,1,7
GREEDY,15472,8,0,2,10
DEFAULT,62321,10,0,0,10
STATION_GUY,23273,4,0,1,5
STATION_GUY,61956,6,0,1,7
DEFAULT,88807,5,1,1,7
GREEDY,27331,9,2,2,13
STATION_GUY,47810,9,0,1,10
GREEDY,22589,7,1,0,8
DEFAULT,35075,6,1,1,8
GREEDY,24886,8,0,0,8
GREEDY,63332,7,2,4,13
GREEDY,20409,8,1,2,11
STATION_GUY,69621,5,0,1,6
STATION_GUY,46833,6,1,3,10
DEFAULT,54499,5,0,0,5
DEFAULT,48961,5,0,1,6
GREEDY,25124,7,0,2,9
STATION_GUY,50164,4,0,4,8
DEFAULT,47363,7,0,1,8
STATION_GUY,40800,4,0,4,8
DEFAULT,22760,8,0,0,8
STATION_GUY,32493,6,0,3,9
STATION_GUY,29952,4,1,4,9
GREEDY,43929,5,1,3,9
GREEDY,19764,7,1,1,9
DEFAULT,39620,7,1,1,9
DEFAULT,32496,5,0,1,6
GREEDY,26411,7,1,1,9
UTILITY_GUY,89065,6,1,1,8
UTILITY_GUY,37960,7,1,0,8
GREEDY,19013,9,1,1,11
STATION_GUY,47945,5,0,2,7
GREEDY,17513,9,0,0,9
GREEDY,21459,9,0,1,10
GREEDY,18832,5,1,1,7
UTILITY_GUY,38203,6,1,1,8
GREEDY,25654,10,0,0,10
GREEDY,20350,7,0,2,9
DEFAULT,44297,7,0,1,8
GREEDY,20767,10,1,2,13
GREEDY,21333,8,2,2,12
STATION_GUY,29170,3,1,1,5
GREEDY,15270,10,0,2,12
DEFAULT,78822,7,0,0,7
GREEDY,30197,8,1,1,10
GREEDY,16438,4,1,4,9
GREEDY,25461,10,0,0,10
GREEDY,19960,9,0,1,10
GREEDY,20442,9,1,2,12
DEFAULT,20583,4,1,1,6
GREEDY,28769,9,1,1,11
GREEDY,21169,8,0,1,9
GREEDY,17424,9,1,1,11
UTILITY_GUY,38161,7,0,0,7
GREEDY,35962,9,0,2,11
