strategy,money,countries,utilities,stations,totalLandsOwned
DEFAULT,1412,5,1,2,8
,,,,
DEFAULT,1167,11,0,3,14
DEFAULT,77760,11,1,3,15
DEFAULT,1502,9,1,3,13
DEFAULT,4726,9,2,3,14
DEFAULT,6197,14,0,1,15
DEFAULT,441,8,0,2,10
DEFAULT,11754,12,2,3,17
DEFAULT,17433,12,1,2,15
DEFAULT,15583,10,0,1,11
DEFAULT,320,8,2,3,13
DEFAULT,1054,4,2,0,6
DEFAULT,892,2,1,2,5
DEFAULT,6998,12,2,2,16
DEFAULT,25814,12,2,3,17
DEFAULT,10601,12,0,2,14
DEFAULT,2037,6,1,4,11
DEFAULT,12941,12,1,2,15
DEFAULT,16528,13,1,1,15
DEFAULT,9125,13,1,4,18
,,,,
DEFAULT,34436,13,0,1,14
,,,,
DEFAULT,1796,11,0,1,12
DEFAULT,367,6,1,3,10
,,,,
DEFAULT,6210,10,2,4,16
DEFAULT,14446,9,2,1,12
,,,,
DEFAULT,31705,12,2,1,15
DEFAULT,4022,10,1,4,15
,,,,
DEFAULT,19517,15,0,1,16
DEFAULT,14041,12,0,1,13
DEFAULT,9252,14,0,1,15
DEFAULT,19256,10,0,2,12
,,,,
DEFAULT,487,11,0,0,11
DEFAULT,1726,8,0,4,12
DEFAULT,24487,13,2,2,17
DEFAULT,21803,12,0,2,14
DEFAULT,3116,8,1,3,12
DEFAULT,38873,12,0,2,14
DEFAULT,818,8,1,2,11
DEFAULT,24879,13,1,3,17
DEFAULT,880,5,1,3,9
DEFAULT,2,6,1,2,9
DEFAULT,7402,9,0,2,11
,,,,
DEFAULT,19825,12,0,3,15
DEFAULT,26813,15,1,2,18
DEFAULT,26492,13,0,2,15
DEFAULT,22031,13,1,1,15
DEFAULT,1324,10,2,0,12
DEFAULT,947,11,0,1,12
DEFAULT,1668,3,0,0,3
DEFAULT,867,9,1,2,12
DEFAULT,8216,13,2,1,16
DEFAULT,1083,6,0,0,6
DEFAULT,33057,12,1,1,14
DEFAULT,5331,10,1,2,13
DEFAULT,613,10,0,2,12
DEFAULT,10383,16,1,3,20
DEFAULT,504,7,1,0,8
DEFAULT,1082,9,2,4,15
,,,,
DEFAULT,724,8,1,4,13
DEFAULT,722,8,0,1,9
DEFAULT,30610,11,1,1,13
,,,,
,,,,
DEFAULT,9384,13,2,3,18
DEFAULT,685,7,1,4,12
DEFAULT,19251,12,0,2,14
DEFAULT,11677,13,1,3,17
,,,,
DEFAULT,579,11,0,0,11
DEFAULT,186,7,1,4,12
DEFAULT,5743,11,0,2,13
DEFAULT,26942,7,1,1,9
DEFAULT,6198,12,2,2,16
DEFAULT,2793,9,1,4,14
DEFAULT,6654,14,1,3,18
DEFAULT,8844,11,2,3,16
DEFAULT,1107,6,1,3,10
,,,,
DEFAULT,18645,10,1,2,13
DEFAULT,1323,4,1,3,8
DEFAULT,39212,11,0,1,12
DEFAULT,29409,11,1,1,13
DEFAULT,8781,12,2,3,17
DEFAULT,1268,3,2,0,5
DEFAULT,18703,10,1,2,13
DEFAULT,29951,15,0,1,16
,,,,
DEFAULT,3389,12,2,3,17
DEFAULT,1171,9,0,3,12
DEFAULT,9807,13,1,1,15
DEFAULT,10371,12,2,3,17
DEFAULT,4586,13,0,2,15
DEFAULT,1858,11,2,3,16
DEFAULT,5536,13,0,3,16
DEFAULT,12934,11,1,1,13
DEFAULT,284,9,0,1,10
DEFAULT,2698,11,2,3,16
DEFAULT,1840,7,1,2,10
DEFAULT,25413,11,1,2,14
DEFAULT,2548,12,1,4,17
DEFAULT,18739,10,1,2,13
DEFAULT,19945,12,1,3,16
DEFAULT,1546,6,1,4,11
