strategy,money,countries,utilities,stations,totalLandsOwned
GREEDY,3543,11,2,4,17
GREEDY,7759,14,1,1,16
DEFAULT,10542,12,1,1,14
GREEDY,43045,11,1,3,15
GREEDY,2615,13,1,2,16
GREEDY,1181,11,1,3,15
DEFAULT,1225,1,1,1,3
GREEDY,1735,10,1,1,12
DEFAULT,1435,6,0,2,8
DEFAULT,466,7,2,1,10
DEFAULT,20865,12,0,2,14
DEFAULT,1513,9,0,3,12
GREEDY,336,5,1,3,9
GREEDY,289,6,0,3,9
DEFAULT,976,7,0,0,7
GREEDY,1966,13,0,3,16
DEFAULT,541,7,0,2,9
DEFAULT,513,7,0,1,8
GREEDY,397,8,1,2,11
DEFAULT,438,6,1,3,10
GREEDY,2744,10,2,1,13
GREEDY,2101,12,1,2,15
GREEDY,302,8,2,3,13
GREEDY,4717,14,2,3,19
GREEDY,2793,14,0,2,16
DEFAULT,456,7,1,0,8
GREEDY,12545,11,1,1,13
DEFAULT,705,7,0,2,9
GREEDY,1023,8,1,2,11
DEFAULT,718,9,0,2,11
GREEDY,2257,14,2,2,18
GREEDY,458,7,0,3,10
GREEDY,1052,7,2,3,12
DEFAULT,336,7,0,2,9
GREEDY,1969,11,0,3,14
DEFAULT,622,8,1,1,10
GREEDY,1081,5,1,1,7
GREEDY,3088,12,1,1,14
DEFAULT,256,5,2,0,7
DEFAULT,1301,5,1,1,7
DEFAULT,638,10,1,2,13
DEFAULT,905,6,0,2,8
DEFAULT,1050,3,1,3,7
GREEDY,4224,11,2,4,17
DEFAULT,1259,6,2,3,11
GREEDY,481,8,1,2,11
DEFAULT,1473,1,0,0,1
DEFAULT,490,5,0,1,6
GREEDY,4171,12,0,2,14
GREEDY,4555,10,0,1,11
GREEDY,3018,11,1,3,15
GREEDY,16372,15,2,2,19
DEFAULT,1880,3,0,2,5
DEFAULT,18363,11,1,2,14
DEFAULT,50,10,1,2,13
DEFAULT,262,4,0,3,7
DEFAULT,310,4,1,1,6
GREEDY,1045,8,2,4,14
GREEDY,4884,11,2,4,17
DEFAULT,564,5,1,1,7
GREEDY,133,8,0,1,9
DEFAULT,24787,11,2,1,14
GREEDY,678,10,1,3,14
GREEDY,3927,11,1,3,15
DEFAULT,642,7,1,2,10
DEFAULT,604,7,0,1,8
DEFAULT,962,5,0,0,5
GREEDY,279,10,2,3,15
DEFAULT,1446,3,0,0,3
DEFAULT,24762,12,1,1,14
GREEDY,8861,12,0,1,13
DEFAULT,19550,12,0,3,15
GREEDY,8387,12,1,3,16
DEFAULT,961,9,2,4,15
DEFAULT,671,7,0,0,7
GREEDY,1026,11,0,3,14
DEFAULT,988,4,0,1,5
GREEDY,3118,16,1,2,19
DEFAULT,1754,1,0,4,5
GREEDY,7196,13,1,2,16
GREEDY,713,9,0,3,12
GREEDY,552,5,0,0,5
DEFAULT,202,9,1,1,11
GREEDY,4298,12,1,0,13
DEFAULT,377,10,1,2,13
DEFAULT,1924,13,1,2,16
DEFAULT,403,7,0,1,8
GREEDY,2575,16,0,2,18
GREEDY,100,12,1,1,14
DEFAULT,669,8,1,3,12
DEFAULT,166,9,0,2,11
DEFAULT,15867,11,1,2,14
DEFAULT,599,5,0,1,6
DEFAULT,177,4,0,2,6
GREEDY,5548,15,2,2,19
GREEDY,951,11,2,3,16
GREEDY,984,7,1,2,10
DEFAULT,13976,11,2,2,15
GREEDY,254,6,0,2,8
DEFAULT,51,7,1,2,10
DEFAULT,903,3,0,2,5
GREEDY,9508,12,1,2,15
DEFAULT,583,7,0,1,8
DEFAULT,178,7,1,0,8
DEFAULT,1000,5,1,3,9
DEFAULT,430,6,2,1,9
DEFAULT,1091,6,2,3,11
DEFAULT,257,8,1,3,12
GREEDY,1697,12,1,2,15
DEFAULT,23481,9,1,1,11
GREEDY,2199,9,0,3,12
DEFAULT,1138,2,1,0,3
DEFAULT,2645,12,1,2,15
DEFAULT,428,9,1,0,10
GREEDY,286,7,2,3,12
GREEDY,19478,10,0,3,13
DEFAULT,1640,2,0,2,4
DEFAULT,939,4,0,0,4
DEFAULT,448,5,0,2,7
GREEDY,7350,11,1,3,15
GREEDY,4841,11,1,3,15
GREEDY,4171,13,1,3,17
DEFAULT,485,5,1,2,8
DEFAULT,635,8,0,3,11
DEFAULT,995,8,1,3,12
DEFAULT,1204,2,1,1,4
DEFAULT,1453,6,1,2,9
DEFAULT,1224,11,0,3,14
DEFAULT,480,7,0,2,9
GREEDY,2296,12,2,2,16
DEFAULT,12245,13,1,3,17
GREEDY,877,10,1,3,14
DEFAULT,425,7,1,2,10
DEFAULT,577,10,1,1,12
GREEDY,6624,16,1,1,18
DEFAULT,712,6,1,2,9
GREEDY,3995,15,1,3,19
DEFAULT,1386,8,2,1,11
GREEDY,3239,14,1,3,18
DEFAULT,742,6,1,1,8
GREEDY,2405,11,1,3,15
DEFAULT,884,8,1,3,12
GREEDY,2254,13,2,3,18
DEFAULT,18056,9,1,2,12
DEFAULT,3214,8,1,1,10
GREEDY,905,12,1,3,16
DEFAULT,36913,11,1,1,13
DEFAULT,20408,11,1,1,13
DEFAULT,681,7,2,1,10
GREEDY,2100,8,1,4,13
DEFAULT,6571,13,1,3,17
DEFAULT,101,7,0,1,8
GREEDY,184,9,0,2,11
DEFAULT,732,7,0,1,8
DEFAULT,181,8,1,0,9
DEFAULT,10102,11,0,1,12
DEFAULT,621,4,2,1,7
DEFAULT,752,8,1,2,11
GREEDY,6370,11,0,3,14
GREEDY,5562,13,2,2,17
GREEDY,2275,14,1,2,17
DEFAULT,966,5,0,1,6
GREEDY,1579,12,2,3,17
GREEDY,3528,14,2,1,17
GREEDY,4650,14,2,0,16
GREEDY,2039,12,2,3,17
GREEDY,1610,14,1,1,16
GREEDY,847,5,1,1,7
GREEDY,6905,13,1,1,15
GREEDY,3538,14,1,2,17
GREEDY,880,8,2,4,14
DEFAULT,206,9,1,1,11
DEFAULT,1423,9,1,1,11
DEFAULT,7562,10,1,2,13
GREEDY,5760,13,1,3,17
GREEDY,2149,11,1,3,15
DEFAULT,341,6,0,2,8
DEFAULT,1526,6,0,1,7
GREEDY,7704,12,1,3,16
DEFAULT,8716,12,2,2,16
DEFAULT,5769,12,2,3,17
GREEDY,27040,13,0,2,15
GREEDY,7617,14,0,2,16
GREEDY,1762,14,2,4,20
DEFAULT,684,6,1,1,8
DEFAULT,1633,8,0,3,11
DEFAULT,4521,12,1,2,15
DEFAULT,481,9,2,3,14
GREEDY,1899,14,1,2,17
GREEDY,6955,14,1,3,18
GREEDY,34147,14,1,2,17
GREEDY,10824,15,1,3,19
GREEDY,6322,12,1,2,15
DEFAULT,1072,3,0,0,3
DEFAULT,8814,10,1,1,12
GREEDY,10601,10,2,2,14
DEFAULT,1269,5,1,2,8
DEFAULT,801,6,0,0,6
DEFAULT,17455,12,0,3,15
DEFAULT,8248,12,1,3,16
DEFAULT,7179,10,0,3,13
GREEDY,7050,14,1,2,17
DEFAULT,984,6,1,4,11
DEFAULT,1685,5,1,3,9
GREEDY,13483,14,1,3,18
DEFAULT,1142,4,2,1,7
GREEDY,21608,12,1,2,15
GREEDY,12666,13,1,2,16
DEFAULT,1492,4,0,1,5
DEFAULT,1145,7,0,0,7
DEFAULT,830,6,0,0,6
DEFAULT,1281,8,1,2,11
DEFAULT,1153,9,1,3,13
DEFAULT,94,5,0,2,7
DEFAULT,1972,10,2,2,14
DEFAULT,875,5,0,0,5
DEFAULT,27197,12,1,1,14
GREEDY,400,9,1,3,13
DEFAULT,790,9,0,3,12
GREEDY,135,9,0,1,10
DEFAULT,636,8,0,1,9
GREEDY,222,8,1,2,11
DEFAULT,2041,9,2,1,12
DEFAULT,4482,11,1,1,13
GREEDY,5249,12,2,2,16
DEFAULT,2261,13,0,4,17
DEFAULT,1404,9,1,2,12
GREEDY,926,4,1,0,5
GREEDY,5397,11,1,4,16
GREEDY,983,7,2,0,9
GREEDY,2610,10,1,3,14
DEFAULT,1024,7,1,3,11
GREEDY,5213,10,1,3,14
GREEDY,10156,14,0,3,17
DEFAULT,1789,13,2,3,18
GREEDY,5765,12,1,3,16
DEFAULT,1148,4,1,2,7
GREEDY,862,9,0,3,12
DEFAULT,781,9,0,1,10
GREEDY,2142,15,1,3,19
GREEDY,6830,12,1,2,15
DEFAULT,1159,8,0,3,11
GREEDY,12705,13,0,2,15
DEFAULT,12754,13,0,2,15
DEFAULT,958,6,0,2,8
DEFAULT,733,9,2,0,11
GREEDY,4005,13,1,4,18
DEFAULT,575,9,2,3,14
GREEDY,76225,15,1,2,18
GREEDY,560,11,1,2,14
GREEDY,5083,13,2,2,17
GREEDY,5599,13,1,3,17
GREEDY,6581,9,2,3,14
GREEDY,2612,13,1,2,16
DEFAULT,28134,8,1,1,10
GREEDY,1438,11,2,1,14
GREEDY,10745,11,2,1,14
DEFAULT,837,3,1,1,5
GREEDY,3557,12,1,1,14
DEFAULT,1132,2,1,0,3
GREEDY,14616,11,1,3,15
DEFAULT,769,5,0,1,6
DEFAULT,674,4,1,0,5
DEFAULT,878,4,0,1,5
GREEDY,2521,9,1,2,12
DEFAULT,1007,6,0,1,7
GREEDY,350,8,0,0,8
DEFAULT,6773,10,1,2,13
DEFAULT,987,4,2,1,7
DEFAULT,892,4,1,1,6
GREEDY,369,9,0,2,11
DEFAULT,1240,6,0,0,6
DEFAULT,681,6,1,2,9
DEFAULT,572,5,0,2,7
GREEDY,584,4,1,1,6
GREEDY,3939,14,2,2,18
DEFAULT,704,7,1,3,11
DEFAULT,394,10,0,3,13
GREEDY,2698,15,0,3,18
DEFAULT,903,3,0,2,5
GREEDY,829,9,1,4,14
DEFAULT,666,9,0,2,11
DEFAULT,530,5,0,0,5
GREEDY,597,9,0,2,11
DEFAULT,1206,4,1,1,6
GREEDY,11394,14,1,3,18
DEFAULT,80,5,1,1,7
GREEDY,2162,12,1,3,16
DEFAULT,404,7,2,2,11
DEFAULT,861,4,0,0,4
GREEDY,3358,12,1,2,15
GREEDY,3268,14,0,3,17
GREEDY,8284,13,1,1,15
DEFAULT,518,6,0,2,8
DEFAULT,543,7,0,0,7
DEFAULT,693,4,0,1,5
GREEDY,1286,12,2,2,16
GREEDY,3108,16,1,1,18
DEFAULT,859,4,0,3,7
GREEDY,13464,14,1,2,17
DEFAULT,20210,12,0,1,13
DEFAULT,1563,3,0,1,4
DEFAULT,26925,9,1,3,13
DEFAULT,15978,12,0,2,14
GREEDY,1698,8,1,4,13
GREEDY,6620,14,2,1,17
GREEDY,3426,16,1,2,19
DEFAULT,9449,10,1,2,13
GREEDY,1243,9,1,4,14
DEFAULT,24,6,1,2,9
DEFAULT,822,4,2,1,7
GREEDY,1119,14,1,4,19
DEFAULT,765,6,1,1,8
GREEDY,5399,13,0,2,15
DEFAULT,8568,11,1,1,13
GREEDY,1066,8,1,4,13
GREEDY,2459,12,2,4,18
DEFAULT,1702,7,1,2,10
GREEDY,9578,12,0,2,14
DEFAULT,431,8,0,1,9
DEFAULT,397,9,1,0,10
GREEDY,2848,8,0,1,9
DEFAULT,1104,6,0,1,7
DEFAULT,5167,8,1,2,11
DEFAULT,1303,6,1,0,7
DEFAULT,945,6,0,2,8
DEFAULT,15407,15,0,1,16
GREEDY,2427,15,2,2,19
GREEDY,194,9,1,2,12
GREEDY,6102,10,1,4,15
GREEDY,2018,12,1,2,15
GREEDY,5505,12,1,3,16
DEFAULT,594,6,1,0,7
GREEDY,261,6,2,1,9
DEFAULT,1150,3,0,3,6
GREEDY,6482,12,2,3,17
GREEDY,6503,13,1,2,16
GREEDY,2459,17,1,3,21
GREEDY,1819,12,1,3,16
GREEDY,2428,11,0,3,14
GREEDY,4136,14,0,3,17
GREEDY,3758,10,0,3,13
DEFAULT,60377,11,0,2,13
GREEDY,4340,14,2,3,19
