strategy,money,countries,utilities,stations,totalLandsOwned
STATION_GUY,8924,13,2,3,18
STATION_GUY,24429,12,1,2,15
UTILITY_GUY,11545,11,2,2,15
STATION_GUY,1451,7,0,4,11
UTILITY_GUY,31990,8,1,2,11
UTILITY_GUY,8499,15,1,1,17
STATION_GUY,2263,13,0,3,16
UTILITY_GUY,654,4,2,0,6
UTILITY_GUY,27959,10,1,1,12
UTILITY_GUY,11089,14,2,2,18
STATION_GUY,16286,11,2,3,16
UTILITY_GUY,16049,12,2,1,15
STATION_GUY,14960,11,1,3,15
STATION_GUY,21166,11,0,2,13
UTILITY_GUY,26032,14,1,0,15
STATION_GUY,915,4,0,2,6
UTILITY_GUY,1161,4,1,1,6
STATION_GUY,11042,10,0,3,13
UTILITY_GUY,435,8,2,1,11
UTILITY_GUY,9994,12,1,3,16
STATION_GUY,802,7,1,3,11
STATION_GUY,908,6,1,3,10
UTILITY_GUY,34696,13,1,2,16
STATION_GUY,18331,11,1,3,15
STATION_GUY,9452,14,0,3,17
STATION_GUY,12068,8,1,4,13
UTILITY_GUY,19329,13,1,1,15
UTILITY_GUY,361,6,1,1,8
STATION_GUY,1883,7,0,2,9
UTILITY_GUY,31884,15,1,1,17
STATION_GUY,12236,15,0,3,18
STATION_GUY,1396,6,0,4,10
STATION_GUY,3775,12,0,3,15
UTILITY_GUY,12140,12,2,1,15
STATION_GUY,787,5,1,4,10
UTILITY_GUY,2558,9,2,2,13
UTILITY_GUY,3053,11,2,1,14
STATION_GUY,4030,11,0,4,15
STATION_GUY,6766,14,0,4,18
UTILITY_GUY,1006,4,2,0,6
UTILITY_GUY,20695,15,1,1,17
STATION_GUY,1813,7,1,3,11
STATION_GUY,18788,15,0,3,18
STATION_GUY,66005,10,0,3,13
STATION_GUY,1040,5,1,3,9
STATION_GUY,4992,11,1,3,15
UTILITY_GUY,14757,14,1,2,17
UTILITY_GUY,521,5,2,1,8
STATION_GUY,167,6,2,3,11
UTILITY_GUY,2796,7,2,1,10
STATION_GUY,11518,14,0,2,16
STATION_GUY,1151,9,2,4,15
UTILITY_GUY,16279,11,0,3,14
UTILITY_GUY,54456,12,1,2,15
UTILITY_GUY,13906,16,2,2,20
STATION_GUY,64221,12,0,3,15
STATION_GUY,1427,11,0,4,15
STATION_GUY,24521,10,0,3,13
UTILITY_GUY,1529,1,1,2,4
STATION_GUY,1197,7,0,2,9
STATION_GUY,21630,13,0,4,17
UTILITY_GUY,1684,7,1,4,12
STATION_GUY,489,8,0,3,11
STATION_GUY,1172,8,0,4,12
UTILITY_GUY,6965,14,1,2,17
STATION_GUY,3683,10,1,2,13
STATION_GUY,9271,13,0,1,14
STATION_GUY,2085,15,1,3,19
UTILITY_GUY,10838,11,0,1,12
STATION_GUY,1574,2,0,1,3
STATION_GUY,718,5,1,1,7
UTILITY_GUY,16373,10,1,2,13
STATION_GUY,365,7,0,3,10
STATION_GUY,2509,4,1,4,9
UTILITY_GUY,4832,14,0,1,15
UTILITY_GUY,1418,6,1,4,11
STATION_GUY,14278,17,2,1,20
STATION_GUY,27035,13,1,3,17
UTILITY_GUY,28990,12,2,2,16
UTILITY_GUY,5381,17,1,3,21
STATION_GUY,2018,3,1,4,8
UTILITY_GUY,62581,12,2,0,14
UTILITY_GUY,800,7,1,2,10
STATION_GUY,29094,12,0,2,14
STATION_GUY,10279,12,1,3,16
UTILITY_GUY,16060,10,1,2,13
UTILITY_GUY,10390,15,1,1,17
UTILITY_GUY,10255,14,1,0,15
